ID,商品カテゴリ名,カテゴリコード,親カテゴリ,親カテゴリID,表示順,状態
2,食品,1200,,,1,1
8,グロサリー,1201,食品,2,1,1
9,酒,1202,食品,2,2,1
10,米,1206,食品,2,3,1
11,飲料,1207,食品,2,4,1
12,菓子,1208,食品,2,5,1
13,洋日配,1209,食品,2,6,1
14,和日配,1210,食品,2,7,1
15,加工肉,1211,食品,2,8,1
16,フローズン,1212,食品,2,9,1
17,ホールセールパン,1213,食品,2,10,1
34,a,12,食品,2,12,1
50,c,13,食品,2,13,1
51,c,13,食品,2,14,1
53,c,13,食品,2,15,1
55,c,13,食品,2,16,1
57,b,11,食品,2,17,1
58,c,13,食品,2,18,1
59,b,11,食品,2,19,1
60,c,13,食品,2,20,1
62,b,11,食品,2,21,1
63,c,13,食品,2,22,1
3,住生活,1300,,,2,1
18,ホームケア,1301,住生活,3,1,1
19,トイレタリー,1302,住生活,3,2,1
20,ヘルス,1303,住生活,3,3,1
21,ビューティー,1304,住生活,3,4,1
22,雑貨,1305,住生活,3,5,1
23,ホームファッション,1306,住生活,3,6,1
24,文具,1307,住生活,3,7,1
25,玩具,1308,住生活,3,8,1
26,スポレ,1317,住生活,3,9,1
27,自転車,1311,住生活,3,10,1
28,園芸＆DIY,1312,住生活,3,11,1
29,ペット,1313,住生活,3,12,1
30,カー用品,1314,住生活,3,13,1
31,家電,1315,住生活,3,14,1
32,アパレル,1316,住生活,3,15,1
1,生鮮,1100,,,3,1
4,青果,1101,生鮮,1,1,1
5,精肉,1102,生鮮,1,2,1
6,鮮魚,1103,生鮮,1,3,1
7,惣菜,1104,生鮮,1,4,1
41,テスト12,,,,4,1
48,編集用,,,,5,1
49,編集用２,,,,6,1
61,test111,,,,7,1
68,テストテストテスト,5500,,,8,1
69,テストテストテストテスト,5555,,,9,1
70,テストテストテストテストテスト,5600,,,10,1
71,テストテストテストテストテストテスト,5666,,,11,1
73,お菓子,,,,12,1
74,チルド・たまご,,,,13,1
75,パン,,,,14,1
76,レトルト,,,,15,1
77,飲料・酒,,,,16,1
78,惣菜・ベーカリー,,,,17,1
79,日用品・雑貨,,,,18,1
80,粉類・調味料・麺類,,,,19,1
81,野菜・果物,,,,20,1
82,冷凍食品・アイス,,,,21,1
